STT,Code,Name,Note,SL BÁN 3 THÁNG,SL BÁN 6 THÁNG,TỒN KHO,BQ BÁN/NGÀY,NGÀY TỒN,Order Forecast
257.0,2200827000001,DC03 - DỤNG CỤ RỬA MẶT BOOVER (Vacosi Boover Cleanser),,1.0,1.0,80.0,0.005555555555555556,14400.0,
258.0,2200885000005,M28 - CỌ TẠO KHỐI ĐẦU CONG (Vacosi Curved Sculpting Brush),,0.0,0.0,1.0,,,
259.0,2200886000004,F07 - CỌ ĐÁNH KHỐI ĐẦU DẸP VACOSI (Vacosi Flat Contour Brush),,0.0,0.0,1.0,,,
260.0,2200917000003-01,Gift - PK02 VACOSI PRS SMALL ROUND PRO PUFF - Bông phấn khô tròn nhỏ PRO (Bịch 1 cái),,8.0,8.0,690.0,0.044444444444444446,15525.0,
261.0,2201004000005,VM12 - KEO DÁN MI 8ML (Vacosi Natural Studio Eyelash 3D Primer),,0.0,0.0,78.0,,,
262.0,2201006000003-22,Gift - Blind box hộp mù móc khóa Noel 2025 (Ecom),,575.0,575.0,-35.0,3.1944444444444446,-10.956521739130434,610.0
263.0,2201006000003-23,Gift - Lịch Mini 2026 (Ecom),,3864.0,3864.0,3667.0,21.466666666666665,170.82298136645963,197.0
264.0,6970758093057,"BP43 - SET 3 BÔNG VÁT XÉO ĐÔI VACOSI VERSATILE, TÍM ( Vacosi Versatile Makeup Blender Set - Dewberry, 3pc)",,64.0,64.0,2874.0,0.35555555555555557,8083.125,
265.0,6970758099134,BP41 - BÔNG KIM TỰ THÁP VACOSI VERSATILE (Vacosi Versatile Makeup Sponge),,24.0,24.0,4043.0,0.13333333333333333,30322.5,
266.0,8809399376282,"VM25 - BÚT KẺ MẮT NƯỚC VACOSI 24H KHÔNG LEM (Vacosi Natural Studio 24h Waterproof Pen 0,6g) số 01",,0.0,0.0,26.0,,,
267.0,8809399376305,"VM26 - CHÌ VẶN KẺ MẮT VACOSI DẠNG GEL 0,1G (Vacosi Natural Studio Styling Twist Liner) ",,0.0,0.0,4.0,,,
268.0,8809399378880,VM24-01 - BÚT KẺ MẮT NƯỚC WATERPROOF SIÊU LÌ 5ML SỐ 01 (Vacosi Natural Studio Waterproof Eyeliner),,0.0,0.0,57.0,,,
269.0,8809420280380-01,VM21-01 - CHÌ MÀY ĐỊNH HÌNH VACOSI ALL IN ONE SỐ 01 (Vacosi Natural Studio Dual Eyebrow Shape Pen 5ml #01),,0.0,0.0,1.0,,,
270.0,8809420280380-04,VM21-04 - CHÌ MÀY ĐỊNH HÌNH VACOSI ALL IN ONE SỐ 04 (Vacosi Natural Studio Dual Eyebrow Shape Pen 5ml #04),,0.0,0.0,2.0,,,
271.0,8809491947601,VS15-S4 - SON THỎI MỊN LÌ VACOSI - S4 Poise (Vacosi Matte Lipstick S4 3.3G),,207.0,207.0,4752.0,1.15,4132.173913043479,
272.0,8809491947618,VS15-S5 - SON THỎI MỊN LÌ VACOSI - S5 Reign (Vacosi Matte Lipstick S5 3.3G),,137.0,137.0,4823.0,0.7611111111111111,6336.788321167884,
273.0,8809491947625,VS15-S6 - VACOSI MATTE LIPSTICK #S6 Flair (Son thỏi mịn lì Vacosi - S6),,172.0,172.0,4738.0,0.9555555555555556,4958.372093023256,
274.0,CARD,QT008 - Card Thank you Vacosi,,0.0,0.0,19.0,,,
275.0,CM13-EC,CM13 - CỌ MẮT 2 ĐẦU MOUSSE VACOSI (VACOSI DUAL EYESHADOW SPONGE) ( 5 cây),,0.0,0.0,300.0,,,
276.0,DC14,"Soap Rửa Cọ Trang Điểm VACOSI - DC14  Dễ Làm Sạch, Chuyên Dụng (Màu Trắng)",,38.0,38.0,90.0,0.2111111111111111,426.3157894736842,
277.0,TMK,"TMK-01 TÚI ĐỰNG ĐỒ TRANG ĐIỂM VACOSI, MÀU ĐEN CHỮ NHẬT (VACOSI MAKEUP BAG, BLACK CANVAS)",,0.0,0.0,2393.0,,,
278.0,TMK02,"TMK-02 - TÚI ĐỰNG ĐỒ TRANG ĐIỂM VACOSI, LƯỚI ĐỎ ( VACOSI MAKEUP BAG, RED NYLON)",,0.0,0.0,2071.0,,,
279.0,TMK03,TMK-03 - TÚI ĐỰNG ĐỒ TRANG ĐIỂM VACOSI LƯỚI XANH (VACOSI MAKEUP BAG BLUE NYLON),,0.0,0.0,1821.0,,,
